signal_date,benchmark_tail_digit,zhuge_score,posture,element,names_changed,neutral_return_1d_pct,close_tail_return_1d_pct,return_delta_1d_pct,neutral_crash_rate_1d_pct,close_tail_crash_rate_1d_pct,neutral_return_5d_pct,close_tail_return_5d_pct,return_delta_5d_pct,neutral_crash_rate_5d_pct,close_tail_crash_rate_5d_pct
2025-09-10,5,5.5,neutral,earth,0,5.7835149999999995,5.7835149999999995,0.0,0.0,0.0,5.672140000000001,5.672140000000001,0.0,0.0,0.0
2025-09-11,7,7.6,aggressive,fire,0,0.26230000000000003,0.26230000000000003,0.0,0.0,0.0,2.0971,2.0971,0.0,0.0,0.0
2025-09-12,8,6.3,balanced,wood,0,-0.843805,-0.843805,0.0,0.0,0.0,1.32279,1.32279,0.0,0.0,0.0
2025-09-15,6,3.4,defensive,water,0,0.060814999999999966,0.060814999999999966,0.0,0.0,0.0,4.33717,4.33717,0.0,0.0,0.0
2025-09-16,7,7.6,aggressive,fire,0,0.80909,0.80909,0.0,0.0,0.0,8.15648,8.15648,0.0,0.0,0.0
2025-09-17,0,5.5,neutral,earth,0,0.6262200000000002,0.6262200000000002,0.0,5.0,5.0,7.572185,7.572185,0.0,0.0,0.0
2025-09-18,1,3.4,defensive,water,0,0.2897149999999999,0.28971500000000006,1.6653345369377348e-16,0.0,0.0,8.012674999999998,8.012674999999998,0.0,0.0,0.0
2025-09-19,1,3.4,defensive,water,0,2.725135,2.725135,0.0,0.0,0.0,3.9797350000000007,3.9797350000000007,0.0,5.0,5.0
2025-09-22,6,3.4,defensive,water,0,-1.171735,-1.1717349999999995,4.440892098500626e-16,15.0,15.0,3.746295,3.746295,0.0,15.0,15.0
2025-09-23,9,4.2,conservative,metal,0,3.5491749999999995,3.5491749999999995,0.0,0.0,0.0,3.7406549999999994,3.7406549999999994,0.0,0.0,0.0
2025-09-24,0,5.5,neutral,earth,0,1.4592299999999998,1.4592299999999998,0.0,0.0,0.0,4.030825,4.030825,0.0,0.0,0.0
2025-09-25,2,7.6,aggressive,fire,0,-1.557045,-1.557045,0.0,15.0,15.0,-0.18929499999999985,-0.18929499999999985,0.0,10.0,10.0
2025-09-26,8,6.3,balanced,wood,0,3.7637799999999997,3.7637799999999997,0.0,0.0,0.0,0.8421849999999997,0.8421849999999997,0.0,10.0,10.0
2025-09-29,5,5.5,neutral,earth,0,-0.4162699999999999,-0.4162699999999999,0.0,5.0,5.0,-7.902300000000001,-7.902300000000001,0.0,45.0,45.0
2025-09-30,8,6.3,balanced,wood,0,1.214885,1.214885,0.0,0.0,0.0,-5.401999999999999,-5.401999999999999,0.0,35.0,35.0
2025-10-09,3,6.3,balanced,wood,0,-3.4385200000000005,-3.4385200000000005,0.0,30.0,30.0,-6.306495,-6.306495,0.0,25.0,25.0
2025-10-10,6,3.4,defensive,water,0,4.748850000000001,4.748850000000001,0.0,0.0,0.0,-0.8688499999999998,-0.8688500000000001,-3.3306690738754696e-16,0.0,0.0
2025-10-13,9,4.2,conservative,metal,1,-7.177959999999999,-7.061739999999999,0.11622000000000021,70.0,70.0,-8.108965000000001,-8.071945000000001,0.03702000000000005,35.0,35.0
2025-10-22,2,7.6,aggressive,fire,0,0.5111449999999998,0.5111449999999998,0.0,0.0,0.0,16.62438,16.62438,0.0,0.0,0.0
2025-10-24,7,7.6,aggressive,fire,0,2.21935,2.21935,0.0,0.0,0.0,-1.7825849999999996,-1.7825849999999996,0.0,15.0,15.0
2025-10-27,3,6.3,balanced,wood,0,-0.14732000000000003,-0.14732000000000003,0.0,0.0,0.0,-3.4724600000000003,-3.4724600000000003,0.0,5.0,5.0
2025-10-28,9,4.2,conservative,metal,0,1.23795,1.23795,0.0,0.0,0.0,-6.66401,-6.66401,0.0,25.0,25.0
2025-10-29,9,4.2,conservative,metal,0,-1.1454,-1.1454,0.0,0.0,0.0,-7.061039999999998,-7.06104,-1.7763568394002505e-15,20.0,20.0
2025-10-30,0,5.5,neutral,earth,0,-4.819694999999999,-4.819694999999999,0.0,50.0,50.0,-1.7284199999999998,-1.7284199999999998,0.0,5.0,5.0
2025-10-31,3,6.3,balanced,wood,0,2.0729949999999997,2.0729949999999997,0.0,0.0,0.0,4.487699999999999,4.487699999999999,0.0,0.0,0.0
2025-11-03,0,5.5,neutral,earth,0,-1.9297299999999997,-1.9297299999999997,0.0,10.0,10.0,0.23900000000000002,0.23900000000000002,0.0,0.0,0.0
2025-11-04,6,3.4,defensive,water,0,5.29606,5.29606,0.0,0.0,0.0,6.213770000000001,6.21377,-8.881784197001252e-16,0.0,0.0
2025-11-06,2,7.6,aggressive,fire,0,0.03872999999999998,0.03872999999999998,0.0,0.0,0.0,-3.2506499999999994,-3.2506500000000003,-8.881784197001252e-16,5.0,5.0
2025-11-07,2,7.6,aggressive,fire,0,-2.058665,-2.058665,0.0,0.0,0.0,-5.994635,-5.994635,0.0,20.0,20.0
2025-11-10,4,4.2,conservative,metal,0,-2.686385,-2.686385,0.0,20.0,20.0,-5.198675,-5.198675,0.0,5.0,5.0
2026-01-08,0,5.5,neutral,earth,0,1.2679449999999999,1.2679449999999999,0.0,0.0,0.0,4.41982,4.41982,0.0,0.0,0.0
2026-01-16,6,3.4,defensive,water,0,1.1116199999999998,1.1116199999999998,0.0,0.0,0.0,3.3428149999999994,3.3428149999999994,0.0,0.0,0.0
2026-01-19,8,6.3,balanced,wood,0,-1.34451,-1.34451,0.0,15.0,15.0,3.956090000000001,3.956090000000001,0.0,0.0,0.0
2026-01-20,4,4.2,conservative,metal,0,2.34627,2.34627,0.0,0.0,0.0,6.547395,6.547395,0.0,0.0,0.0
2026-01-27,0,5.5,neutral,earth,0,2.0560650000000003,2.0560650000000003,0.0,0.0,0.0,1.1155750000000002,1.1155750000000002,0.0,5.0,5.0
2026-01-28,5,5.5,neutral,earth,0,-2.3937600000000003,-2.3937600000000003,0.0,15.0,15.0,-0.6599849999999998,-0.6599849999999998,0.0,25.0,25.0
2026-01-29,8,6.3,balanced,wood,0,2.0522650000000002,2.0522650000000002,0.0,5.0,5.0,-1.4604699999999997,-1.4604699999999997,0.0,15.0,15.0
2026-01-30,1,3.4,defensive,water,0,-3.81464,-3.81464,0.0,30.0,30.0,-4.239050000000001,-4.239050000000001,0.0,30.0,30.0
2026-02-25,0,5.5,neutral,earth,0,2.7561649999999998,2.7561649999999998,0.0,0.0,0.0,-1.2761350000000005,-1.2761350000000005,0.0,15.0,15.0
2026-02-26,5,5.5,neutral,earth,0,0.29218500000000003,0.29218500000000003,0.0,0.0,0.0,-2.3944400000000003,-2.3944400000000003,0.0,5.0,5.0
2026-02-27,5,5.5,neutral,earth,0,1.9560600000000004,1.9560600000000004,0.0,0.0,0.0,-3.7047649999999996,-3.7047649999999996,0.0,10.0,10.0
2026-03-02,9,4.2,conservative,metal,0,-5.06907,-5.06907,0.0,55.00000000000001,55.00000000000001,-8.67158,-8.67158,0.0,40.0,40.0
2026-03-05,4,4.2,conservative,metal,0,-0.47409999999999997,-0.47409999999999997,0.0,0.0,0.0,1.929325,1.929325,0.0,0.0,0.0
2026-03-06,7,7.6,aggressive,fire,0,0.850185,0.8501849999999997,-2.220446049250313e-16,0.0,0.0,3.280409999999999,3.28041,8.881784197001252e-16,15.0,15.0
2026-04-21,6,3.4,defensive,water,0,4.552455,4.552455,0.0,0.0,0.0,3.957655,3.957655,0.0,5.0,5.0
2026-04-23,1,3.4,defensive,water,1,-1.1617250000000001,-1.14669,0.015035000000000132,5.0,5.0,2.0328150000000003,2.323745,0.2909299999999999,5.0,5.0
