role_key,role,direct_weight_pct,ablation_mode,horizon_days,usable_days,mean_return_contribution_pct,mean_return_contribution_bp,contribution_ci_low_bp,contribution_ci_high_bp,mean_crash_rate_reduction_pct_points,crash_reduction_ci_low_pct_points,crash_reduction_ci_high_pct_points,mean_names_replaced_in_top20,days_with_any_top20_change_pct
livermore,Livermore Breakout Trader,17.0,weight_only,5,292,-0.03411070205479448,-3.411070205479448,-8.583611558219175,1.1990902825342478,0.0,-0.10273972602739725,0.11986301369863013,0.3561643835616438,27.054794520547947
volume_price,Volume-Price Analyst,14.000000000000002,weight_only,5,292,-0.04404898972602737,-4.404898972602736,-9.736995890410954,1.0054104452054853,0.05136986301369863,-0.0684931506849315,0.18835616438356165,0.410958904109589,30.136986301369863
candlestick,Candlestick Pattern Analyst,8.0,weight_only,5,292,-0.027418510273972563,-2.7418510273972565,-5.882838227739726,-0.22540894691779875,0.0,-0.08561643835616438,0.08561643835616438,0.15753424657534246,12.67123287671233
overheat,Overheat Auditor,11.0,weight_only,5,292,-0.03688823630136988,-3.6888236301369877,-7.7193834332191775,0.43198309075342006,-0.11986301369863013,-0.2226027397260274,-0.017123287671232876,0.386986301369863,27.73972602739726
risk,Risk Manager,18.0,weight_only,5,292,-0.04707169520547944,-4.707169520547945,-8.360534631849317,-1.3398579623287683,-0.03424657534246575,-0.11986301369863013,0.05136986301369863,0.3219178082191781,23.972602739726025
zhuge_orion,Zhuge Orion,0.0,weight_only,5,292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chair,Final Portfolio Chair,5.0,weight_only,5,292,-0.004929623287671239,-0.4929623287671239,-1.3324335188356171,0.23596596746575113,-0.03424657534246575,-0.08561643835616438,0.0,0.04794520547945205,4.4520547945205475
market_regime,Market Regime Judge,9.0,full_path,1,296,-0.01863184121621622,-1.863184121621622,-3.7556673564189187,-0.07229366554053898,-0.05067567567567568,-0.13513513513513514,0.033783783783783786,0.4189189189189189,28.716216216216218
trend,Trend Follower,18.0,full_path,1,296,-0.018674847972972967,-1.8674847972972968,-5.745630025337838,2.039316385135132,0.05067567567567563,-0.18581081081081083,0.2875844594594591,1.489864864864865,64.86486486486487
livermore,Livermore Breakout Trader,17.0,full_path,1,296,-0.0047765709459459205,-0.47765709459459205,-1.9502096283783747,1.1152392314189192,2.400482215405744e-17,-0.06756756756756757,0.06756756756756761,0.3547297297297297,27.027027027027028
