posture,zhuge_score,zhuge_weight_pct,chair_weight_pct,horizon_days,signal_days,mean_return_pct,return_delta_vs_current_bp,win_rate_pct,crash_rate_pct,mean_names_changed_vs_current_top20,days_with_any_change_pct
balanced,6.3,3.0,2.0000000000000004,5,292,1.4991528595890413,0.3841095890410948,49.965753424657535,6.404109589041096,0.03424657534246575,3.0821917808219177
balanced,6.3,5.0,0.0,1,296,0.31491133445945946,-0.21930236486486518,48.429054054054056,5.641891891891892,0.0777027027027027,7.094594594594595
balanced,6.3,5.0,0.0,5,292,1.490250993150685,-0.5060770547945191,49.93150684931506,6.421232876712329,0.07876712328767123,7.191780821917808
neutral,5.5,0.0,5.0,1,296,0.3171624662162162,0.005810810810810771,48.429054054054056,5.641891891891892,0.0033783783783783786,0.33783783783783783
neutral,5.5,0.0,5.0,5,292,1.4956297431506849,0.03179794520548004,49.965753424657535,6.438356164383562,0.003424657534246575,0.3424657534246575
neutral,5.5,1.0,4.0,1,296,0.31844013513513514,0.13357770270270222,48.445945945945944,5.641891891891892,0.010135135135135136,1.0135135135135136
neutral,5.5,1.0,4.0,5,292,1.4968898630136989,0.15780993150684822,49.965753424657535,6.438356164383562,0.010273972602739725,1.0273972602739725
neutral,5.5,2.0,3.0000000000000004,1,296,0.3181882263513513,0.10838682432432376,48.445945945945944,5.641891891891892,0.010135135135135136,1.0135135135135136
neutral,5.5,2.0,3.0000000000000004,5,292,1.495592602739726,0.028083904109588703,49.965753424657535,6.438356164383562,0.010273972602739725,1.0273972602739725
neutral,5.5,3.0,2.0000000000000004,1,296,0.3186981418918919,0.15937837837837723,48.445945945945944,5.641891891891892,0.02364864864864865,2.364864864864865
neutral,5.5,3.0,2.0000000000000004,5,292,1.492952345890411,-0.23594178082191694,49.9486301369863,6.438356164383562,0.023972602739726026,2.3972602739726026
neutral,5.5,5.0,0.0,1,296,0.31675043918918916,-0.03539189189189286,48.46283783783784,5.625,0.060810810810810814,6.081081081081082
neutral,5.5,5.0,0.0,5,292,1.4961285102739728,0.08167465753425064,49.965753424657535,6.421232876712329,0.06164383561643835,6.164383561643835
conservative,4.2,0.0,5.0,1,296,0.32010407094594595,0.2999712837837828,48.445945945945944,5.625,0.0472972972972973,4.391891891891892
conservative,4.2,0.0,5.0,5,292,1.4846011130136985,-1.0710650684931533,49.9486301369863,6.438356164383562,0.04794520547945205,4.4520547945205475
conservative,4.2,1.0,4.0,1,296,0.3211378885135135,0.40335304054054016,48.46283783783784,5.625,0.05067567567567568,4.72972972972973
conservative,4.2,1.0,4.0,5,292,1.489436506849315,-0.587525684931508,49.965753424657535,6.438356164383562,0.05136986301369863,4.794520547945205
conservative,4.2,2.0,3.0000000000000004,1,296,0.3242022972972973,0.7097939189189187,48.49662162162162,5.625,0.06756756756756757,5.0675675675675675
conservative,4.2,2.0,3.0000000000000004,5,292,1.487849366438356,-0.7462397260273992,49.91438356164384,6.438356164383562,0.0684931506849315,5.136986301369863
conservative,4.2,3.0,2.0000000000000004,1,296,0.3223971959459459,0.5292837837837832,48.47972972972973,5.625,0.0777027027027027,6.081081081081082
conservative,4.2,3.0,2.0000000000000004,5,292,1.4881829623287672,-0.7128801369863013,49.91438356164384,6.438356164383562,0.07876712328767123,6.164383561643835
conservative,4.2,5.0,0.0,1,296,0.3210737162162162,0.3969358108108098,48.429054054054056,5.608108108108109,0.11486486486486487,9.121621621621621
conservative,4.2,5.0,0.0,5,292,1.4961311130136985,0.08193493150684907,49.93150684931506,6.404109589041096,0.11643835616438356,9.246575342465754
defensive,3.4,0.0,5.0,1,296,0.31949390202702704,0.23895439189189072,48.46283783783784,5.625,0.07432432432432433,6.418918918918918
defensive,3.4,0.0,5.0,5,292,1.4854354452054797,-0.9876318493150713,49.897260273972606,6.438356164383562,0.07534246575342465,6.506849315068493
defensive,3.4,1.0,4.0,1,296,0.3213188006756757,0.4214442567567552,48.49662162162162,5.625,0.08783783783783784,6.418918918918918
defensive,3.4,1.0,4.0,5,292,1.4829429109589043,-1.2368852739726044,49.86301369863014,6.438356164383562,0.08904109589041095,6.506849315068493
defensive,3.4,2.0,3.0000000000000004,1,296,0.32081320945945946,0.37088513513513327,48.47972972972973,5.625,0.10810810810810811,7.77027027027027
defensive,3.4,2.0,3.0000000000000004,5,292,1.4796112842465756,-1.5700479452054814,49.82876712328767,6.438356164383562,0.1095890410958904,7.876712328767123
defensive,3.4,3.0,2.0000000000000004,1,296,0.32064177364864865,0.35374155405405283,48.47972972972973,5.625,0.11486486486486487,8.445945945945946
defensive,3.4,3.0,2.0000000000000004,5,292,1.483939109589041,-1.1372654109589049,49.88013698630137,6.421232876712329,0.11643835616438356,8.561643835616438
defensive,3.4,5.0,0.0,1,296,0.3190883783783784,0.19840202702702822,48.429054054054056,5.608108108108109,0.13513513513513514,10.135135135135135
defensive,3.4,5.0,0.0,5,292,1.4836878424657534,-1.162392123287671,49.86301369863014,6.421232876712329,0.136986301369863,10.273972602739725
